data;Classe A 0 Sentido C;Classe A 0 Sentido D;Classe A 0 Total;Classe B 0 Sentido C;Classe B 0 Sentido D;Classe B 0 Total;Classe C 0 Sentido C;Classe C 0 Sentido D;Classe C 0 Total;Classe D 0 Sentido C;Classe D 0 Sentido D;Classe D 0 Total;Classe E 0 Sentido C;Classe E 0 Sentido D;Classe E 0 Total;Classe F 0 Sentido C;Classe F 0 Sentido D;Classe F 0 Total;Classe G 0 Sentido C;Classe G 0 Sentido D;Classe G 0 Total;Classe H 0 Sentido C;Classe H 0 Sentido D;Classe H 0 Total;Classe I 0 Sentido C;Classe I 0 Sentido D;Classe I 0 Total;Classe J 0 Sentido C;Classe J 0 Sentido D;Classe J 0 Total;Classe L 0 Sentido C;Classe L 0 Sentido D;Classe L 0 Total;Todos 0 Sentido C;Todos 0 Sentido D;Total Geral
01/08/2014;297;351;648;184;147;331;26;25;51;24;22;46;12;44;56;8;21;29;0;0;0;22;19;41;2241;2421;4662;436;547;983;253;164;417;3503;3761;7264
02/08/2014;210;239;449;154;125;279;22;20;42;9;24;33;7;42;49;6;20;26;0;1;1;14;8;22;2015;2809;4824;480;704;1184;199;135;334;3116;4127;7243
03/08/2014;165;142;307;61;42;103;11;6;17;11;5;16;22;9;31;8;5;13;0;1;1;20;3;23;3168;2365;5533;656;537;1193;163;74;237;4285;3189;7474
04/08/2014;254;378;632;169;198;367;19;18;37;16;9;25;12;22;34;7;14;21;0;0;0;13;3;16;2047;2019;4066;621;404;1025;259;150;409;3417;3215;6632
05/08/2014;278;358;636;180;187;367;42;31;73;20;22;42;8;43;51;6;19;25;0;0;0;12;16;28;1703;1928;3631;402;385;787;206;161;367;2857;3150;6007
06/08/2014;322;370;692;224;178;402;29;25;54;15;29;44;10;45;55;9;17;26;0;0;0;10;9;19;1847;1955;3802;419;386;805;228;172;400;3113;3186;6299
07/08/2014;259;411;670;208;226;434;21;25;46;11;23;34;16;45;61;14;13;27;0;1;1;9;16;25;1902;2020;3922;405;414;819;218;159;377;3063;3353;6416
08/08/2014;333;377;710;235;173;408;36;28;64;20;19;39;18;49;67;7;14;21;0;0;0;20;10;30;2456;2693;5149;451;547;998;256;180;436;3832;4090;7922
09/08/2014;236;272;508;162;126;288;23;19;42;13;7;20;7;32;39;3;8;11;0;0;0;8;8;16;2148;3483;5631;566;828;1394;146;124;270;3312;4907;8219
10/08/2014;147;98;245;61;40;101;16;5;21;10;12;22;7;9;16;14;4;18;0;0;0;24;4;28;3779;2683;6462;814;592;1406;157;59;216;5029;3506;8535
11/08/2014;228;362;590;184;182;366;20;36;56;20;22;42;12;24;36;9;10;19;0;0;0;7;9;16;2428;2102;4530;683;400;1083;224;153;377;3815;3300;7115
12/08/2014;253;338;591;215;220;435;29;31;60;18;23;41;9;33;42;11;19;30;0;0;0;15;15;30;1824;2096;3920;411;352;763;209;133;342;2994;3260;6254
13/08/2014;317;367;684;215;184;399;37;30;67;19;28;47;5;29;34;8;12;20;0;0;0;18;11;29;1808;1950;3758;405;378;783;243;177;420;3075;3166;6241
14/08/2014;315;456;771;202;204;406;24;30;54;16;25;41;14;38;52;14;17;31;1;0;1;16;19;35;1967;2707;4674;408;495;903;235;177;412;3212;4168;7380
15/08/2014;250;294;544;180;146;326;28;23;51;12;20;32;20;26;46;14;16;30;0;0;0;13;7;20;2185;3621;5806;457;652;1109;206;150;356;3365;4955;8320
16/08/2014;225;198;423;143;111;254;29;13;42;12;18;30;10;22;32;5;11;16;0;0;0;13;18;31;2033;2307;4340;497;606;1103;149;115;264;3116;3419;6535
17/08/2014;171;153;324;79;46;125;17;7;24;12;4;16;19;14;33;9;9;18;0;0;0;17;3;20;4698;2358;7056;724;518;1242;178;80;258;5924;3192;9116
18/08/2014;276;362;638;158;187;345;23;26;49;21;11;32;17;21;38;8;11;19;0;0;0;20;6;26;2182;2025;4207;597;365;962;239;152;391;3541;3166;6707
19/08/2014;283;370;653;182;189;371;27;31;58;16;29;45;20;41;61;7;14;21;0;2;2;15;11;26;1697;1889;3586;396;340;736;180;161;341;2823;3077;5900
20/08/2014;304;365;669;211;215;426;30;26;56;19;17;36;19;47;66;7;9;16;0;0;0;16;6;22;1779;1887;3666;401;394;795;249;157;406;3035;3123;6158
21/08/2014;310;408;718;210;229;439;37;36;73;15;14;29;17;32;49;12;18;30;2;0;2;14;14;28;1880;1822;3702;412;351;763;213;169;382;3122;3093;6215
22/08/2014;315;363;678;218;183;401;31;37;68;26;16;42;12;45;57;4;18;22;0;0;0;13;15;28;2189;2333;4522;403;504;907;214;199;413;3425;3713;7138
23/08/2014;205;254;459;168;143;311;26;17;43;11;20;31;10;37;47;5;10;15;0;0;0;9;10;19;1845;2539;4384;457;609;1066;146;132;278;2882;3771;6653
24/08/2014;171;135;306;71;47;118;14;9;23;14;8;22;14;20;34;8;4;12;1;0;1;10;8;18;2791;2206;4997;586;454;1040;160;76;236;3840;2967;6807
25/08/2014;270;383;653;200;200;400;26;25;51;17;19;36;17;12;29;7;11;18;0;0;0;21;4;25;1985;2006;3991;602;388;990;186;150;336;3331;3198;6529
26/08/2014;262;356;618;171;191;362;22;40;62;22;27;49;19;45;64;8;18;26;0;0;0;6;4;10;1695;1870;3565;407;370;777;229;164;393;2841;3085;5926
27/08/2014;306;349;655;172;176;348;30;26;56;21;28;49;6;38;44;5;7;12;0;0;0;7;5;12;1815;1861;3676;409;365;774;266;182;448;3037;3037;6074
28/08/2014;323;437;760;228;211;439;40;30;70;15;21;36;13;44;57;4;11;15;0;0;0;20;8;28;1888;1891;3779;385;343;728;220;198;418;3136;3194;6330
29/08/2014;307;357;664;254;206;460;35;22;57;18;34;52;13;29;42;4;14;18;1;1;2;17;13;30;2243;2417;4660;401;556;957;207;155;362;3500;3804;7304
30/08/2014;252;265;517;178;145;323;18;25;43;22;19;41;5;27;32;7;11;18;0;0;0;11;5;16;2025;2876;4901;511;705;1216;144;118;262;3173;4196;7369
31/08/2014;166;129;295;81;51;132;13;5;18;11;17;28;8;15;23;5;5;10;1;0;1;12;10;22;3299;2413;5712;686;539;1225;185;99;284;4467;3283;7750
01/09/2014;245;343;588;181;196;377;23;17;40;18;15;33;20;28;48;6;8;14;1;0;1;8;8;16;2086;2122;4208;666;394;1060;236;191;427;3490;3322;6812
02/09/2014;256;331;587;201;207;408;30;18;48;15;23;38;13;35;48;1;13;14;0;0;0;5;6;11;1798;1980;3778;419;411;830;228;180;408;2966;3204;6170
03/09/2014;280;374;654;219;237;456;28;27;55;27;30;57;14;35;49;6;11;17;0;0;0;18;10;28;1861;1954;3815;406;388;794;250;153;403;3109;3219;6328
04/09/2014;332;397;729;194;223;417;26;24;50;27;25;52;5;32;37;3;13;16;0;0;0;17;5;22;2038;2034;4072;393;367;760;264;206;470;3299;3326;6625
05/09/2014;347;407;754;194;175;369;29;20;49;15;25;40;12;45;57;7;17;24;0;0;0;17;8;25;2245;2649;4894;409;530;939;277;174;451;3552;4050;7602
06/09/2014;238;256;494;136;155;291;28;15;43;10;21;31;4;28;32;5;7;12;0;0;0;10;8;18;1979;3100;5079;469;695;1164;196;158;354;3075;4443;7518
07/09/2014;211;161;372;87;76;163;15;10;25;9;5;14;19;10;29;8;11;19;0;0;0;21;8;29;3508;2348;5856;643;501;1144;182;94;276;4703;3224;7927
08/09/2014;286;390;676;195;214;409;32;21;53;17;19;36;15;18;33;9;6;15;0;0;0;11;1;12;2226;2173;4399;659;406;1065;224;176;400;3674;3424;7098
09/09/2014;315;411;726;256;229;485;26;33;59;9;29;38;22;43;65;5;21;26;1;0;1;10;13;23;1808;2030;3838;437;400;837;257;209;466;3146;3418;6564
10/09/2014;344;354;698;228;222;450;31;29;60;13;35;48;19;49;68;8;17;25;0;0;0;10;18;28;1918;2014;3932;428;418;846;237;189;426;3236;3345;6581
11/09/2014;320;421;741;248;241;489;37;26;63;21;25;46;15;58;73;8;17;25;0;0;0;21;12;33;2014;2029;4043;382;364;746;214;195;409;3280;3388;6668
12/09/2014;349;380;729;204;205;409;34;29;63;13;22;35;15;44;59;5;17;22;0;0;0;9;14;23;2229;2762;4991;428;538;966;258;199;457;3544;4210;7754
13/09/2014;237;262;499;163;166;329;26;23;49;12;17;29;9;24;33;4;19;23;0;0;0;12;12;24;1993;3095;5088;461;653;1114;182;156;338;3099;4427;7526
14/09/2014;243;206;449;90;59;149;21;3;24;23;8;31;13;17;30;13;5;18;0;0;0;15;11;26;3459;2365;5824;677;548;1225;175;84;259;4729;3306;8035
