;Classe;Descrição;Sentido;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Total
0;A;Ônibus/Cam de 2 eixos;C;287;273;316;305;351;264;221;325;309;319;316;343;276;286;298;328;346;317;384;295;318;316;354;319;313;257;224;202;306;354;228;9350
1;A;Ônibus/Cam de 2 eixos;D;370;336;370;421;388;257;215;416;370;341;414;377;295;252;389;381;382;423;410;323;237;396;405;442;133;339;244;187;373;334;202;10422
2;A;Ônibus/Cam de 2 eixos;Total;657;609;686;726;739;521;436;741;679;660;730;720;571;538;687;709;728;740;794;618;555;712;759;761;446;596;468;389;679;688;430;19772
3;B;Ônibus/Cam de 3 eixos;C;168;214;232;216;230;171;73;195;197;211;239;247;159;86;206;191;252;267;250;193;116;190;249;190;44;170;134;74;186;233;132;5715
4;B;Ônibus/Cam de 3 eixos;D;181;219;218;248;229;175;48;201;223;223;272;227;131;62;197;241;221;252;224;171;96;210;270;184;40;192;128;45;188;202;143;5661
5;B;Ônibus/Cam de 3 eixos;Total;349;433;450;464;459;346;121;396;420;434;511;474;290;148;403;432;473;519;474;364;212;400;519;374;84;362;262;119;374;435;275;11376
6;C;Caminhão de 4 eixos;C;23;25;32;29;32;29;11;33;30;26;36;34;35;23;23;33;28;42;26;18;18;39;30;28;6;19;18;11;25;24;19;805
7;C;Caminhão de 4 eixos;D;18;16;33;24;27;24;11;28;35;34;26;38;17;9;27;23;31;33;31;15;8;27;31;25;8;17;19;4;18;25;10;692
8;C;Caminhão de 4 eixos;Total;41;41;65;53;59;53;22;61;65;60;62;72;52;32;50;56;59;75;57;33;26;66;61;53;14;36;37;15;43;49;29;1497
9;D;Caminhão de 5 eixos;C;21;17;20;15;13;23;15;30;22;20;21;21;18;14;11;18;26;23;23;12;18;13;20;16;9;13;11;12;18;15;11;539
10;D;Caminhão de 5 eixos;D;9;15;28;26;20;13;6;16;19;24;23;21;24;8;10;18;24;20;18;15;11;11;18;17;6;12;11;0;10;17;10;480
11;D;Caminhão de 5 eixos;Total;30;32;48;41;33;36;21;46;41;44;44;42;42;22;21;36;50;43;41;27;29;24;38;33;15;25;22;12;28;32;21;1019
12;E;Caminhão de 6 eixos;C;15;17;9;8;12;4;18;22;15;15;14;20;11;14;20;22;13;18;21;22;12;12;15;10;9;7;7;7;7;14;3;413
13;E;Caminhão de 6 eixos;D;25;37;43;35;28;35;13;29;43;31;37;43;37;19;26;29;35;44;43;29;18;17;25;24;10;22;23;17;26;29;13;885
14;E;Caminhão de 6 eixos;Total;40;54;52;43;40;39;31;51;58;46;51;63;48;33;46;51;48;62;64;51;30;29;40;34;19;29;30;24;33;43;16;1298
15;F;Caminhão de 7 eixos;C;7;5;8;7;9;5;7;12;8;6;10;2;1;9;11;12;5;9;5;6;8;7;3;3;2;0;3;2;3;3;3;181
16;F;Caminhão de 7 eixos;D;4;9;8;14;9;14;8;15;14;15;14;13;11;4;6;11;18;11;9;6;5;10;6;10;2;5;9;1;4;8;7;280
17;F;Caminhão de 7 eixos;Total;11;14;16;21;18;19;15;27;22;21;24;15;12;13;17;23;23;20;14;12;13;17;9;13;4;5;12;3;7;11;10;461
18;G;Caminhão de 8 eixos;C;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
